Theta,Phi_r,v_alh (q),m_alh (q),s_alh (q),Bay (q),Bay Lower,Bay Upper,,
49.70409772,0.697414279,0.126519271,0.30021275,2.864413944,0.032090641,0.021223347,0.049722567,,
64.11263971,0.711073612,0.160096398,0.387240344,2.867617706,0.033604227,0.020934963,0.053657115,,
43.6084633,0.665833073,0.104797852,0.263395118,2.862164457,0.03272459,0.0223897,0.049147354,,
20.21117573,0.608185149,0.025366296,0.122075501,2.822640523,0.024847285,0.015956242,0.036567414,,
48.35500619,0.715236028,0.121945603,0.292064237,2.861991806,0.030407355,0.019128664,0.048747284,,
84.98419838,0.602640224,0.118751609,0.513304558,2.941756581,0.057786847,0.031743616,0.091450596,,
36.89198894,0.706907481,0.079202713,0.222827613,2.858329201,0.028818299,0.018503927,0.045860888,,
61.16768595,0.736932182,0.156153016,0.369452823,2.859501887,0.03006389,0.016470657,0.050854362,,
88.023077,0.649188376,0.099676144,0.531659385,2.916428169,0.05016101,0.030612765,0.078131672,,
74.69300817,0.611080814,0.156524794,0.451145769,2.918222168,0.051222661,0.029718683,0.079828007,,
